#subID	 subGroupNr x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG M_star
#subID	 groupID	 kpc/h	 kpc/h	 kpc/h	 km/s	 km/s	 km/s	 km/s	 mags mags 10^10Msun/h
370322 688 39373.179688 4681.152344 59979.500000 -90.827415 -116.128899 -31.847397 232.845367 -2.001446e+01 -2.078643e+01 3.395247
370323 688 39324.394531 5016.697266 60339.820312 -176.638702 -160.858475 -114.133873 118.885857 -1.945199e+01 -1.988989e+01 0.529960
370324 688 39187.109375 4942.296387 59918.230469 -125.389908 -206.084915 -14.565976 68.172104 -1.585776e+01 -1.634243e+01 0.023977
370325 688 39376.253906 4664.609375 59989.941406 -367.676910 194.787994 -229.101852 61.661087 -1.578932e+01 -1.660412e+01 0.059119
370326 688 39208.957031 4520.795898 59797.917969 23.804504 -117.821724 111.225349 41.612038 -1.144652e+01 -1.204837e+01 0.000685
370327 688 39373.726562 4624.934082 59992.480469 -380.428406 -343.509033 -199.264374 55.492279 -1.515215e+01 -1.556083e+01 0.009917
370328 688 39380.238281 4711.334473 60013.042969 -210.030441 46.849155 -168.219498 49.482140 -1.493180e+01 -1.572780e+01 0.028994
370329 688 39496.750000 4522.669434 59883.238281 37.083134 -178.874634 -17.452415 35.906105 -1.211792e+01 -1.264391e+01 0.000911
370330 688 39355.132812 4816.256836 60077.035156 146.504883 -229.832687 46.279064 35.606567 -1.000766e+01 -1.055297e+01 0.000163
370331 688 39220.800781 4786.939453 59719.242188 12.172568 -88.138542 114.358559 29.468035 -8.657156e+00 -9.211362e+00 0.000057
370332 688 39401.070312 4704.071777 59964.113281 299.562164 -315.658417 -138.644775 41.241165 -1.377838e+01 -1.398908e+01 0.001484
370333 688 39375.941406 4678.761230 59922.257812 -50.337280 -493.657410 -41.083988 39.117130 -1.200750e+01 -1.263592e+01 0.001233
370334 688 39231.199219 4807.423340 59909.078125 -17.928307 -188.477783 -51.876251 33.565605 -1.312451e+01 -1.380816e+01 0.004012
370335 688 39267.914062 4558.229980 60100.984375 -41.106262 -291.034943 142.247971 25.380274 1.000000e+37 1.000000e+37 0.000000
370336 688 39500.332031 4567.201172 60023.378906 -144.566147 32.099495 -168.900833 29.881199 -1.251752e+01 -1.315931e+01 0.001882
370337 688 39289.457031 4454.645020 59991.898438 83.689125 48.417377 -26.217365 22.199722 1.000000e+37 1.000000e+37 0.000000
370338 688 39345.859375 4543.094238 60031.593750 101.456268 20.249748 114.555809 24.684626 -8.394897e+00 -8.961595e+00 0.000052
370339 688 39195.093750 4782.484375 59986.601562 -252.720154 -195.035599 -208.359879 23.697535 1.000000e+37 1.000000e+37 0.000000
370340 688 39138.812500 4597.740234 59705.273438 5.393533 48.002254 24.197111 19.297939 1.000000e+37 1.000000e+37 0.000000
370341 688 39172.128906 4897.769531 60178.218750 -97.795815 -113.361176 -196.146988 22.734407 1.000000e+37 1.000000e+37 0.000000
370342 688 39200.839844 4845.491699 60236.128906 -106.312531 -48.311501 -74.054283 26.125389 -9.358647e+00 -9.931480e+00 0.000124
370343 688 39353.035156 4684.528320 60039.960938 -386.919434 -239.907288 -86.272095 29.893154 1.000000e+37 1.000000e+37 0.000000
370344 688 39317.804688 4648.711426 60202.937500 -119.009750 -234.540756 -133.195877 22.015087 1.000000e+37 1.000000e+37 0.000000
370345 688 39432.437500 4738.528320 59929.621094 -100.172165 83.807701 -207.432632 24.888197 -9.120241e+00 -9.672818e+00 0.000086
370346 688 39454.496094 4814.763672 60093.808594 -54.930389 -153.428528 -251.610184 24.845057 -9.788898e+00 -1.034318e+01 0.000162
370347 688 39321.984375 4611.311035 60058.542969 82.365456 71.337204 -144.014175 25.082924 -9.921849e+00 -1.050821e+01 0.000220
370348 688 39548.312500 4748.645996 60048.289062 -293.629181 -122.114708 -76.003342 22.212589 -8.831603e+00 -9.385894e+00 0.000067
370349 688 39385.406250 4731.346191 59963.187500 -246.091843 -162.062683 -299.015381 27.435234 -1.121251e+01 -1.183054e+01 0.000591
370350 688 39102.820312 4743.965332 59802.160156 -168.176529 -75.268387 -46.700008 24.088200 1.000000e+37 1.000000e+37 0.000000
370351 688 39307.886719 5084.519531 60399.121094 -112.143410 -179.263412 -77.065559 23.903469 1.000000e+37 1.000000e+37 0.000000
370352 688 39318.207031 4615.853516 59764.296875 -189.307281 107.476341 45.144318 18.631969 1.000000e+37 1.000000e+37 0.000000
370353 688 39604.890625 4550.342773 60032.414062 -59.908417 -51.034264 161.808807 17.370230 1.000000e+37 1.000000e+37 0.000000
370354 688 39403.847656 4765.943359 59979.187500 234.658600 -265.739197 -75.786133 20.754251 1.000000e+37 1.000000e+37 0.000000
370355 688 39386.968750 4832.266602 59919.539062 81.078156 -104.742836 189.018387 17.652832 1.000000e+37 1.000000e+37 0.000000
370356 688 39156.308594 4729.296875 59766.925781 -179.040558 -221.418793 150.783752 15.760423 1.000000e+37 1.000000e+37 0.000000
370357 688 39426.406250 4500.964844 60143.566406 112.315498 -67.192863 5.384674 16.031113 1.000000e+37 1.000000e+37 0.000000
370358 688 39353.906250 4620.005371 59910.609375 -19.610140 -28.725376 -299.047180 25.160080 -1.078237e+01 -1.137087e+01 0.000434
370359 688 39464.636719 4812.076660 60148.164062 -355.499176 -78.167694 -97.317451 16.227829 1.000000e+37 1.000000e+37 0.000000
370360 688 39232.292969 4765.060059 59946.000000 38.937775 -202.039154 -109.601326 23.738253 -9.934060e+00 -1.054097e+01 0.000224
370361 688 39398.316406 4517.887207 60120.921875 -14.641706 -243.310135 113.312614 15.970473 1.000000e+37 1.000000e+37 0.000000
